Sample	seq_name	length	PI	MW	Hydro
NZ_ASHR01000014.1_38491_42405_-	NZ_ASHR01000014.1_38491_42405_-	1304.0	4.02	133029.28	129.2
NZ_ASHR01000014.1_236715_240275_+	NZ_ASHR01000014.1_236715_240275_+	1186.0	5.24	129327.95	-206.8
NZ_ASHR01000014.1_175853_178780_+	NZ_ASHR01000014.1_175853_178780_+	975.0	6.45	107061.56	-207.8
NZ_ASHR01000014.1_269234_272104_+	NZ_ASHR01000014.1_269234_272104_+	956.0	4.65	98855.24	522.0
NZ_ASHR01000014.1_200599_203373_+	NZ_ASHR01000014.1_200599_203373_+	924.0	11.11	95464.36	460.3
NZ_ASHR01000014.1_65719_68421_+	NZ_ASHR01000014.1_65719_68421_+	900.0	6.21	98786.79	-470.2
NZ_ASHR01000014.1_56914_59478_-	NZ_ASHR01000014.1_56914_59478_-	854.0	4.47	90295.18	-170.0
NZ_ASHR01000014.1_74293_76710_-	NZ_ASHR01000014.1_74293_76710_-	805.0	5.23	88431.38	-222.5
NZ_ASHR01000014.1_182957_185317_+	NZ_ASHR01000014.1_182957_185317_+	786.0	6.8	82072.72	-64.5
NZ_ASHR01000014.1_47061_49301_+	NZ_ASHR01000014.1_47061_49301_+	746.0	5.07	77537.56	-123.6
NZ_ASHR01000014.1_92227_94437_+	NZ_ASHR01000014.1_92227_94437_+	736.0	4.42	75696.43	473.5
NZ_ASHR01000014.1_188774_190918_-	NZ_ASHR01000014.1_188774_190918_-	714.0	5.33	79717.06	-193.5
NZ_ASHR01000014.1_186643_188772_-	NZ_ASHR01000014.1_186643_188772_-	709.0	6.3	75829.11	2.6
NZ_ASHR01000014.1_42573_44693_+	NZ_ASHR01000014.1_42573_44693_+	706.0	4.86	74245.99	77.3
NZ_ASHR01000014.1_162494_164602_+	NZ_ASHR01000014.1_162494_164602_+	702.0	5.49	73451.84	281.7
NZ_ASHR01000014.1_272215_274284_+	NZ_ASHR01000014.1_272215_274284_+	689.0	4.0	66849.73	302.1
